Ware House ,CATegory ,trepco #,DESC,STD Unite of Meassur ,UM1,UM1 X,UM2,UM2 X,UM3,UM3 X,VENDer's  ITEM #,UPC1 EA,UPC2 BX / CS,UPC3  CS
1,50,528026,ICE BREAKERS WINTERGREEN MINT 1.5OZ,2,EA,1,BOX,8,CSE,24,72062,034000000098,034000720620,20034000720624
1,50,521435,JOLLY RANCHER ASST PG 7Z,2,EA,1,CAS,12,,1,70230,010700702302,10010700702309,
1,50,507699,JOLLY RANCHER BITES KS,2,EA,1,BOX,12,CSE,8,52984,010700529855,010700529848,20010700529842
1,50,515429,JOLLY RANCHER BITES TWOSOME 18ct,2,EAC,1,BX,18,CAS,12,1070045014,010700000224,010700450142,20010700450146
1,50,515940,JOLLY RANCHER GUMMIES ASST PEG 5Z,2,EA,1,CAS,12,,1,85836,010700858368,10010700858365,
1,50,501015,JOLLY RANCHER HARD STRAWBERRY/APPLE,2,EAC,1,BX,12,CSE,20,51711,010700517128,010700517111,20010700517115
1,50,502864,JOLLY RANCHER KISS WATERMELON,2,EA,1,BOX,160,CSE,18,10087,010700100870,010700100870,10010700100877
1,50,521849,JOLLY RANCHER LOLLIPOPS,2,EA,1,BOX,50,CSE,12,15850,010700000071,010700158505,20010700158509
1,50,527242,JOLLY RANCHER ORIG FRUIT CHEWS,2,EA,1,BOX,12,CSE,8,51951,010700519528,010700519511,20010700519515
1,50,515957,JOLLY RANCHER SOUR GUMMIES PEG 5Z,2,EA,1,CAS,12,,1,85835,010700858351,10010700858358,
1,50,509976,JOLLY RANCHER SR BITES PCH 8Z SOFT,2,EA,1,BOX,9,,1,10070052981,010700529817,10010700529814,
1,50,500959,KIT KAT,2,EA,1,BOX,36,CSE,12,24600,034000002467,034000246007,20034000246001
1,50,516435,KIT KAT APPLE PIE ALA MODE,2,EA,1,BOX,24,CSE,12,40264,034000402656,034000402649,20034000402643
1,50,514307,KIT KAT APPRECIATION BAR 4.5Z,2,EA,1,BOX,12,,1,17617,034000176175,10034000176172,
1,50,507905,KIT KAT BIG KAT,2,EA,1,BOX,36,CSE,12,24525,034000245246,034000245253,10034000245250
1,50,507319,KIT KAT BIG KAT KING SIZE 3Z,2,EA,1,BOX,16,CSE,9,24521,034000245222,034000245215,20034000245219
1,50,516310,KIT KAT BIG KAT NEW SIZE,2,EA,1,BOX,24,CSE,16,24532,034000245246,034000245376,20034000245325
1,50,516443,KIT KAT BIRTHDAY CAKE,2,EA,1,BOX,24,CSE,12,40262,034000402632,034000402625,20034000402629
1,50,500975,KIT KAT DARK,2,EA,1,BOX,24,CSE,12,23643,034000000463,034000236435,20034000236439
1,50,512103,KIT KAT DARK KING SIZE,2,EA,1,BOX,24,CSE,6,23622,034000236237,034000236220,20034000236224
1,50,515965,KIT KAT DUOS DK CHOC MINT,2,EA,1,BOX,24,CSE,12,31827,034000318285,034000318278,20034000318272
1,50,515973,KIT KAT DUOS DK CHOC MINT KS,2,EA,1,BOX,24,CSE,6,31825,034000318261,034000318254,20034000318258
1,50,508770,KIT KAT KING SIZE,2,EA,1,BOX,24,CSE,6,22600,034000002290,034000226009,20034000226003
1,50,500355,KIT KAT MINI KS 2.2Z,2,EA,1,BOX,12,CSE,12,3400013851,034000138517,034000138524,10034000138514
1,50,515361,KIT KAT MINIS 7.6Z 'NEW SIZE',2,EA,1,CAS,8,,1,3400099662,034000996629,10034000996626,
1,50,500769,KIT KAT WHITE,2,EA,1,BOX,24,CSE,12,23610,034000000548,034000236107,20034000236101
1,50,508952,KIT KAT WHITE KS,2,EA,1,BOX,24,CSE,6,22621,034000001774,034000226207,00034000226214
1,50,504605,KIT KAT WHITE MINI KS 2.2Z,2,EA,1,BOX,12,CSE,12,3400013859,034000138609,034000138593,20034000138597
1,50,500100,MILK DUDS BOX 5 OZ,2,EA,1,CSE,12,,1,1070002152,010700021526,010700021523,
1,50,501155,MOUNDS,2,EA,1,BOX,36,CSE,12,00310,034000000319,034000903108,00034000003105
1,50,510420,MOUNDS KING SIZE,2,EA,1,BOX,18,CSE,8,05210,034000005215,034000052103,20034000052107
1,50,500629,MR. GOODBAR 36CT,2,EA,1,BOX,36,CSE,12,24300,034000002436,034000243006,20034000243000
1,50,500074,MR. GOODBAR KING SIZE,2,EA,1,BOX,18,CSE,12,22300,034000002238,034000223008,20034000223002
1,50,501445,PAYDAY,2,EA,1,BOX,24,CSE,12,80723,010700807229,010700963239,20010700807230
1,50,516344,PAYDAY CHOCOLATEY,2,EA,1,BOX,24,CSE,12,85852,010700858535,010700858528,20010700858522
1,50,516351,PAYDAY CHOCOLATEY KING SIZE,2,EA,1,BOX,18,CSE,8,85854,010700858559,010700858542,20010700858546
1,50,512863,PAYDAY KING SIZE,2,EA,1,BOX,18,CSE,8,80726,010700807274,010700963277,20010700807261
1,50,514315,REESE PBC APPRECIATION BAR 4.25Z,2,EA,1,BOX,12,,1,44272,034000442720,10034000442727,
1,50,516468,REESE PBC PRETZEL STUFFED 1.3Z,2,EA,1,BOX,16,CSE,18,24987,034000249886,034000249879,20034000249873
1,50,516450,REESE PBC PRETZEL STUFFED KS 2.6Z,2,EA,1,BOX,16,CSE,9,24989,034000249909,034000249893,20034000249897
1,50,504274,REESE'S BIG CUP CRUNCHY KS,2,EA,1,BOX,16,CSE,9,43035,034000441507,034000430352,20034000430356
1,50,522946,REESE'S BIG CUP P.B. CUP,2,EA,1,BOX,16,CSE,18,43001,034000001637,034000430017,20034000430011
1,50,522953,REESE'S BIG CUP P.B. KS,2,EA,1,BOX,16,CSE,9,43095,034000430956,034000430963,20034000430950
1,50,502930,REESE'S CHANGEMAKER,2,EA,1,BOX,105,CSE,16,42611,034000426119,034000426119,20034000426113
1,50,564849,REESE'S CRISPY/CRUNCHY KS,2,EA,1,BOX,18,CSE,8,49006,034000490066,034000490073,20034000490060
1,50,510339,REESE'S CRUNCHY COOKIE KS,2,EA,1,BOX,16,CSE,9,48508,034000485093,034000485086,20034000485080
1,50,511048,REESE'S DIPPED PRETZEL 4.25,2,EA,1,CAS,12,,1,21461,034000214617,10034000214614,
1,50,513010,REESE'S DIPPED PRETZEL 8.5Z,2,EA,1,CAS,6,,1,3400021463,034000214631,10034000214638,
1,50,527788,REESE'S FAST BREAK,2,EAC,1,BX,18,CSE,12,15251,034000000524,034000152513,20034000152517
1,50,528760,REESE'S FAST BREAK KS,2,EA,1,BOX,18,CSE,8,20350,034000000357,034000203505,20034000203509
1,50,500132,REESE'S MINIS KS 2.5Z,2,EA,1,BOX,16,CSE,9,47021,034000470228,034000470211,20034000470215
1,50,516088,REESE'S NUTRAGEOUS,2,EAC,1,BX,18,CSE,16,10930,034000000050,034000109302,20034000109306
1,50,517201,REESE'S NUTRAGEOUS KG SZ,2,EAC,1,BX,18,CSE,8,10932,034000006533,034000109326,20034000109320
1,50,513457,REESE'S OUTRAGEOUS,2,EAC,1,BX,18,CSE,16,41203,034000412044,034000412037,20034000412031
1,50,513465,REESE'S OUTRAGEOUS KG SZ,2,EAC,1,BX,18,CSE,8,41200,034000412013,034000412006,20034000412000
1,50,508218,REESE'S P.BTR CUP W/REESE PIECES,2,EA,1,BOX,24,CSE,12,44142,034000441433,034000441426,20034000441420
1,50,518472,REESE'S PB CUPS 5.3Z PEG,2,EA,1,CAS,12,,1,44600,034000446001,10034000446008,
1,50,516161,REESE'S PEANUT BTR CUP WHITE 1.39Z,2,EA,1,BOX,24,CSE,12,3400043369,034000000289,034000433698,10034000433695
1,50,501585,REESE'S PEANUT BUTTER CUP 1.5Z,2,EA,1,BOX,36,CSE,12,44000,034000004409,034000440009,20034000440003
1,50,507848,REESE'S PEANUT BUTTER CUP KG SZ,2,EA,1,BOX,24,CSE,6,48000,034000004805,034000480005,20034000480009
1,50,518480,REESE'S PIECES 6Z PG,2,EA,1,CAS,12,,1,11601,034000116010,10034000116017,
1,50,531350,REESE'S PIECES KING SIZE,2,EA,1,BOX,18,CSE,8,11650,034000001651,034000116508,20034000116502
1,50,504381,REESE'S PIECES NEW SIZE,2,EA,1,BOX,18,CSE,18,24851,034000002481,034000248513,20034000248517
1,50,528067,REESE'S PIECES THEATER 4Z,2,EA,1,CAS,12,,1,11470,34000114702,10034000114709,
1,50,516336,REESE'S PNT BTR CHOC LOVERS CUP KS,2,EA,1,BOX,24,CSE,6,43145,034000000340,034000431458,20034000431452
1,50,508226,REESE'S PNT BTR CUP W/REESE PCS KS,2,EA,1,BOX,16,CSE,9,48501,034000485024,034000485017,20034000485011
1,50,516328,REESE'S PNT BTR LOVERS CUP KG SZ,2,EA,1,BOX,24,CSE,6,43143,034000004133,034000430390,20034000431438
1,50,515114,REESE'S PNT BUTR CUP MINI 7.6Z NEW,2,EAC,1,CS,12,,1,47056,034000470563,10034000470560,
1,50,504365,REESE'S STICKS 1.5OZ,2,EA,1,BOX,20,CSE,12,15141,034000001521,034000151417,20034000151411
1,50,521948,REESE'S STICKS KING SIZE,2,EA,1,BOX,24,CSE,6,20200,034000002030,034000202003,20034000202007
1,50,507236,REESE'S TAKE 5 1.5Z,2,EA,1,BOX,18,CSE,16,38645,034000003860,034000386451,20034000386455
1,50,509992,REESE'S TAKE 5 KS 2.25Z,2,EA,1,BOX,18,CSE,8,38611,034000001354,034000386116,20034000386110
1,50,507293,REESE'S WHITE KING SIZE 2.8OZ,2,EAC,1,BX,18,CSE,8,48011,034000480128,034000480111,20034000480115
1,50,501650,ROLO,2,EA,1,BOX,36,CSE,12,24400,034000002443,034000244003,20034000244007
1,50,518498,ROLO 5.3Z PEG,2,EA,1,CAS,12,,1,37600,034000376001,10034000376008,
1,50,567800,SKOR BAR,2,EA,1,BOX,18,CSE,24,37105,034000003709,034000370207,00034000371051
1,50,501403,TWIZZLER NIBS CHERRY,2,EA,1,BOX,36,CSE,8,53013,034000005130,034000530137,20034000530131
1,50,500086,TWIZZLER NIBS CHERRY 6Z,2,EA,1,CSE,12,,1,54413,034000544134,10034000544131,
1,50,596331,TWIZZLER STRAW. PEG PK 7z/12ct,2,EAC,1,CSE,12,,1,54402,034000544028,10034000544025,
1,50,529453,TWIZZLER STRAWBERRY K/S,2,EA,1,BOX,15,CSE,8,53103,034000531042,034000531035,20034000531039
1,50,507269,TWIZZLER STRAWBERRY LICORICE NEW SZ,2,EA,1,BOX,18,CSE,12,54412,034000005024,034000544127,20034000544121
1,50,501965,WHATCHAMACALLIT,2,EA,1,BOX,36,CSE,12,24700,034000002474,034000247004,20034000247008
1,50,531012,WHATCHAMACALLIT KING SIZE,2,EA,1,BOX,18,CSE,8,22900,034000002993,034000229000,20034000229004
1,50,501973,WHOPPERS,2,EA,1,BOX,24,CSE,12,02385,010700023858,010700923851,10010700023855
1,50,522466,WHOPPERS 7Z PEG,2,EA,1,CAS,12,,1,70202,010700702029,10010700702026,
1,50,528117,WHOPPERS THEATER 5Z,2,EA,1,CAS,12,,1,02440,010700024404,10010700024401,
1,50,502989,YORK CHANGEMAKER,2,EA,1,BOX,175,CSE,9,06643,034000066421,034000066421,00034000066438
1,50,518506,YORK MINT PATTY 5.3Z PEG,2,EA,1,CAS,12,,1,04130,034000041305,10034000041302,
1,50,501478,YORK PEPPERMINT PATTY,2,EA,1,BOX,36,CSE,12,00330,034000003303,034000903306,10034000003300
1,50,513127,YORK PEPPERMINT PATTY KS 2.4Z,2,EA,1,BOX,18,CSE,8,05235,034000052356,034000052363,10034000052353
1,50,516096,JIF PWR UPS CHOC PNT BTR BARS,2,EA,1,BOX,15,CSE,4,694693,051500244692,051500080146,10051500080143
1,50,516070,JIF PWR UPS CRMY PNT BTR BARS,2,EA,1,BOX,15,CSE,4,694691,051500244395,051500080740,10051500080747
1,50,513283,QUEST BAR BIRTHDAY CAKE,2,EA,1,BOX,12,CSE,12,QPBBDC12,888849005956,888849005963,10888849005960
1,50,510248,QUEST BAR BLUEBERRY MUFFIN,2,EA,1,BOX,12,CSE,12,QPBBM12,888849004614,888849004638,10888849004635
1,50,502831,QUEST BAR CHOC BROWNIE,2,EA,1,BOX,12,CSE,12,00042,888849000418,888849000425,10888849000422
1,50,502807,QUEST BAR CHOC CHIP CKIE DOUGH,2,EA,1,BOX,12,CSE,12,00003,888849000012,888849000036,10888849000033
1,50,502815,QUEST BAR CHOC PEANUT BUTR,2,EA,1,BOX,12,CSE,12,00046,888849000456,888849000463,10888849000460
1,50,514935,QUEST BAR CHOC SPRINKLE DOUGHNUT,2,EA,1,BOX,12,CSE,12,695803,888849008650,888849008667,10888849008664
1,50,502781,QUEST BAR COOKIES & CREAM,2,EA,1,BOX,12,CSE,12,00002,888849000005,888849000029,10888849000026
1,50,502823,QUEST BAR DOUBLE CHOC CHUNK,2,EA,1,BOX,12,CSE,12,00024,888849000234,888849000241,10888849000248
1,50,506451,QUEST BAR MINT CHOC CHUNK,2,EA,1,BOX,12,CSE,12,00137,888849001354,888849001378,10888849001375
1,50,510230,QUEST BAR OATMEAL CHOC CHIP,2,EA,1,BOX,12,CSE,12,QPBOCC12,888849004621,888849004645,1088849004642
1,50,514927,QUEST BAR PNT BTR BROWNIE SMASH,2,EA,1,BOX,12,CSE,12,QPBPBBS12,888849006397,888849006403,10888849006400
1,50,510255,QUEST BAR ROCKY ROAD,2,EA,1,BOX,12,CSE,12,QPBRR12,888849003723,888849003730,10888849003737
1,50,516195,QUEST BAR SNACK CARAMEL ALMOND,2,EA,1,BOX,12,CSE,12,QSBSCA12M12,888849010707,888849010721,10888849010728
1,50,516187,QUEST BAR SNACK PNT CHOC CRUNCH,2,EA,1,BOX,12,CSE,12,QSBCPC12M12,888849010615,888849010639,10888849010636
1,50,502849,QUEST BAR STRAWB CHEESECAKE,2,EA,1,BOX,12,CSE,12,00070,888849000692,888849000708,10888849000705
1,50,506477,QUEST BAR WHITE CHOC RASPB,2,EA,1,BOX,12,CSE,12,00022,888849000210,888849000227,10888849000224
1,50,516237,QUEST HERO BAR CHOC CARAMEL PECAN,2,EA,1,BOX,10,CSE,6,QHBCT10M6,888849005406,888849005468,10888849005465
