10475,,,,,
Forecasted Items,,,,,
Generic PDCN,Brand Family,Brand,Container,UPC Unit,UPC Case
1153940,BUDWEISER,Bud Light,1/2 BARREL SV,18200005015,0
1161030,BUSCH,Busch,30/12 AL CAN SP DSTK,18200000515,18200610301
1161246,BUSCH,Busch,24/12 AL CAN 2/12 SP CF,18200000515,18200612466
1161251,BUSCH,Busch,15/25 AL CAN SRINK,18200250033,18200612510
1161940,BUSCH,Busch,1/2 BARREL SV,18200006029,0
1167246,BUSCH,BUSCH NA,24/12 AL CAN 2/12 SP CF,18200002700,18200672460
1170940,MICHELOB,MICHELOB AMBERBOCK,1/2 BARREL SV,18200005121,0
1179246,ODOULS,O'DOUL'S NA,24/12 AL CAN 2/12 SP CF,18200001574,18200792465
1179283,ODOULS,O'DOUL'S NA,24/12 NRLN 4/6 BSKT,18200002014,18200792830
1186030,BUSCH,Busch Light,30/12 AL CAN SP DSTK,18200001888,18200860317
1186246,BUSCH,Busch Light,24/12 AL CAN 2/12 SP CF,18200001888,18200862489
1186251,BUSCH,Busch Light,15/25 AL CAN SRINK,18200250040,18200862519
1284940,GOLDEN ROAD,GOLDEN ROAD HAZY PUP,1/2 BARREL SV,0,0
9977940,TEN BARREL,10 BARREL JOE IPA,1/2 BARREL SV,0,0
10AG940,BRECKENRIDGE,BRECKENRIDGE NITRO IRISH STOUT,1/2 BARREL SV,7.45433E+11,0
10BL94B,TEN BARREL,10B SOFT CORE HARD CIDER,1/2 BARREL-8(CIDER),0,0
10C64Z6,GOLDEN ROAD,GOLDEN ROAD BALBOA BLONDE,24/12 AL CAN 4/6 TRAY,8.10628E+11,0
10C74Z6,GOLDEN ROAD,GOLDEN ROAD HAZY LA IPA,24/12 AL CAN 4/6 TRAY,8.10628E+11,0
10E54Z6,GOLDEN ROAD,GOLDEN ROAD PINEAPPLE CART,24/12 AL CAN 4/6 TRAY,8.10628E+11,0
10EICZ2,TEN BARREL,10 BARREL CRUSH MIX PACK,24/12 AL CAN 2/12 SAMPLER,0,8.50162E+11
10K034S,GOOSE ISLAND,GOOSE ISLAND SPF,24/12 AL CAN 4/6 SNAP TRA,0,0
10MS19Z,GOLDEN ROAD,GOLDEN ROAD GUAVA DIA,15/19.2 AL CAN,#N/A,#N/A
10MS4Z6,GOLDEN ROAD,GOLDEN ROAD GUAVA DIA,24/12 AL CAN 4/6 TRAY,#N/A,#N/A
10MU4Z6,TEN BARREL,10 BARREL SMASH,24/12 AL CAN 4/6 TRAY,#N/A,#N/A
10N619Z,GOLDEN ROAD,GOLDEN ROAD MEDIANOCHE IPA,15/19.2 AL CAN,0,8.10628E+11
10N64Z6,GOLDEN ROAD,GOLDEN ROAD MEDIANOCHE IPA,24/12 AL CAN 4/6 TRAY,8.10628E+11,0
10PF4Z6,TEN BARREL,10 BARREL PROFUSE JUICE,24/12 AL CAN 4/6 TRAY,8.50162E+11,0
10PF940,TEN BARREL,10 BARREL PROFUSE JUICE,1/2 BARREL SV,0,0
10PO4Z6,GOLDEN ROAD,GOLDEN ROAD HAZY HEAL THE BAY,24/12 AL CAN 4/6 TRAY,0,0
10Q6940,GOLDEN ROAD,GOLDEN ROAD BREWERY IPA,1/2 BARREL SV,0,0
10Q719B,BRECKENRIDGE,BRECKENRIDGE STRAWBERRY SKY,15/19.2 OZ AL CAN,7.45433E+11,0
10RH4Z6,TEN BARREL,10 BARREL HAZY TRAIL,24/12 AL CAN 4/6 TRAY,8.51538E+11,0
10RH940,TEN BARREL,10 BARREL HAZY TRAIL,1/2 BARREL SV,0,0
10YP4Z6,TEN BARREL,10 BARREL CLEAN LINE MANGO,24/12 AL CAN 4/6 TRAY,0,8.50162E+11
10YP940,TEN BARREL,10 BARREL CLEAN LINE MANGO,1/2 BARREL SV,#N/A,#N/A
1104SB1,TEAVANA,TEAVANA UNSWEET STRAWBERRY APPLE GREEN,12/14.5 T1NR,18200258879,18200284045
1109L2A,BUDWEISER,BUD LIGHT ORANGE,24/12 NRLN 2/12 TGTR APL,18200259029,18200284250
1109L6A,BUDWEISER,BUD LIGHT ORANGE,24/12 NRLN 4/6 ET BSK APL,18200259029,18200284267
110U251,GOLDEN ROAD,GOLDEN ROAD MANGO CART,15/25 AL CAN SRINK,8.10628E+11,8.10628E+11
110U940,GOLDEN ROAD,GOLDEN ROAD MANGO CART,1/2 BARREL SV,8.10628E+11,0
110UCFP,GOLDEN ROAD,GOLDEN ROAD MANGO CART,24/12 AL CAN 4/6 CF,8.56895E+11,0
110UH35,GOLDEN ROAD,GOLDEN ROAD MANGO CART,30/12 AL CAN 2/15 SP CF,8.56895E+11,0
110V251,MICHELOB,MICHELOB ULTRA PURE GOLD,15/25 AL CAN SRINK,#N/A,#N/A
110V3AC,MICHELOB,MICHELOB ULTRA PURE GOLD,24/12 SLPLN 2/12 APL,18200259043,18200284236
110V8AC,MICHELOB,MICHELOB ULTRA PURE GOLD,18/12 SLPLN BTL EL ET,#N/A,#N/A
110VA78,MICHELOB,MICHELOB ULTRA PURE GOLD,24/12 SLPLN 4/6  BSK APL,18200259043,18200284243
110VLK6,MICHELOB,MICHELOB ULTRA PURE GOLD,24/12 AL SLEEK CAN 2/12,18200259432,18200285417
110W5HB,HIBALL,HIBALL ENERGY WATER GRAPEFRUIT,24/16 AL CAN 3/8 EL,8.97351E+11,0
110X5HB,HIBALL,HIBALL ENERGY WATER LEMON LIME,24/16 AL CAN 3/8 EL,8.97351E+11,0
110Y5HB,HIBALL,HIBALL ENERGY WATER WILD BERRY,24/16 AL CAN 3/8 EL,8.97351E+11,0
11116LK,BUDWEISER,Budweiser,24/8 AL SLEEK CAN 2/12,18200000423,18200961434
1111KT4,BUDWEISER,Budweiser,24/16 OZ 2/12 CALNR CF,18200004735,18200281389
1111KT6,BUDWEISER,Budweiser,24/16 OZ CALNR 3/8 CF,18200004735,18200958601
1111KT8,BUDWEISER,Budweiser,20/16 OZ CALNR,18200004735,18200281372
1115H35,NATURAL LIGHT,NATURAL LIGHT,30/12 AL CAN 2/15 SP CF,18200000317,0
111NM2F,ESTRELLA,ESTRELLA,24/12 ESNR 2/12 ACL TGTR,18200258152,18200984020
111NM4E,ESTRELLA,ESTRELLA,24/12 AL CAN 2/12 SP CF,18200961038,18200984068
111NM4F,ESTRELLA,ESTRELLA,24/12 LNNR 4/6 ACL,18200258152,18200984013
111NM6F,ESTRELLA,ESTRELLA,24/12 ESNR BTL LS PREPNT,18200258152,18200984044
111NM72,ESTRELLA,ESTRELLA,12/24 AL CAN 4/3 SHRNK FO,18200258169,18200284021
111NM7G,ESTRELLA,ESTRELLA,12/24 AL CAN SRINK FOIL,18200258169,18200284021
111NN9E,ESTRELLA,ESTRELLA,1/2 BARREL SV,18200258848,0
111O5HB,HIBALL,HIBALL ENERGY WATER PEACH,24/16 AL CAN 3/8 EL,8.97351E+11,0
111S251,FOUR PEAKS,FOUR PEAKS KILT LIFTER SCOTTISH-STYLE AL,15/25 AL CAN SRINK,8.15351E+11,8.15351E+11
111S4P6,FOUR PEAKS,FOUR PEAKS KILT LIFTER SCOTTISH-STYLE AL,24/12 NR BTL 4/6 APL,8.15351E+11,8.15351E+11
111S940,FOUR PEAKS,FOUR PEAKS KILT LIFTER SCOTTISH-STYLE AL,1/2 BARREL SV,8.15351E+11,0
1127H35,NATURAL LIGHT,NATURAL ICE,30/12 AL CAN 2/15 SP CF,18200000676,0
113ISS1,TEAVANA,TEAVANA SPARKLING PEACH NECTARINE GREEN,12/14.5 T1NR,18200259326,18200284632
113U940,BRECKENRIDGE,BRECKENRIDGE AVALANCHE AMBER ALE,1/2 BARREL SV,7.45432E+11,0
113YA86,GOOSE ISLAND,GOOSE ISLAND 312,24/12 NRLN 4/6 ET BSK APL,7.3692E+11,7.3692E+11
1141MP3,MICHELOB,Michelob,24/12 MRNR 2/12,18200000102,18200412738
11464L2,ELYSIAN,ELYSIAN SPACE DUST IPA,24/12 NR BTL 2/12 APL,8.17904E+11,8.17904E+11
11464L6,ELYSIAN,ELYSIAN SPACE DUST IPA,24/12 NR BTL 4/6 APL,8.17904E+11,8.17904E+11
114O940,GOLDEN ROAD,GOLDEN ROAD BLONDE ALE,1/2 BARREL SV,8.10628E+11,0
114U940,GOLDEN ROAD,GOLDEN ROAD BLOOMIN BLONDE ALE,1/2 BARREL SV,8.10628E+11,0
11536LK,BUDWEISER,Bud Light,24/8 AL SLEEK CAN 2/12,18200001666,18200961458
1153KT4,BUDWEISER,Bud Light,24/16 OZ 2/12 CALNR CF,18200007958,18200281396
1153KT6,BUDWEISER,Bud Light,24/16 OZ CALNR 3/8 CF,18200007958,18200960215
1153KT8,BUDWEISER,Bud Light,20/16 OZ CALNR,18200007958,18200281402
1153N08,BUDWEISER,Bud Light,18/12 LN NR BTL EL APL,18200001697,18200533082
115AYM3,ESTRELLA,ESTRELLA JALISCO MANGO MICHELADA,24/12 AL CAN 3/8 EL,18200259869,18200285493
115AYM5,ESTRELLA,ESTRELLA JALISCO MANGO MICHELADA,15/25 AL CAN SRINK,18200259463,18200284892
115C030,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,30/12 AL CAN SP DSTK,71439000060,71439340302
115C218,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,18/12 AL CAN SP,71439000060,71439344188
115C246,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,24/12 AL CAN 2/12 SP CF,71439000060,18200284816
115C251,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,15/25 AL CAN SRINK,71439006017,71439757001
115C940,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,1/2 BARREL SV,71439600024,0
115CTK2,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,24/12 NRLN 2/12 TGTR,71439000336,71439452128
115CTK6,ROLLING ROCK,ROLLING ROCK EXTRA PALE LAGER,24/12 NRLN 4/6 ET BSKT,71439000336,71439000466
116J030,BUDWEISER,SELECT 55,30/12 AL CAN SP DSTK,18200004018,18200962028
116J218,BUDWEISER,SELECT 55,18/12 AL CAN SP,18200004018,18200962448
116O034,GOOSE ISLAND,GOOSE ISLAND NEXT COAST IPA,24/12 AL CAN 4/6 SP TRAY,7.3692E+11,7.3692E+11
116X30R,GOLDEN ROAD,GOLDEN ROAD FRUIT CART MIXER,30/12 AL CAN 2/15,0,0
1170MP3,MICHELOB,MICHELOB AMBERBOCK,24/12 MRNR 2/12,18200000553,18200702778
1170MP6,MICHELOB,MICHELOB AMBERBOCK,24/12 MRNR 4/6 ET BSKT,18200000553,18200762765
1176RP9,BUDWEISER,RITAS SPRITZ VARIETY PACK,24/12 AL SLEEK CAN 2/12,0,18200285172
117GLJ6,ST PAULI-GIRL,ST PAULI GIRL NA,24/12 NRLN 4/6 BSKT,80660959511,80660959597
