10475,,,,,
Forecasted Items,,,,,
Generic PDCN,Brand Family,Brand,Container,UPC Unit,UPC Case
11E6970,ELYSIAN,ELYSIAN CONTACT HAZE,1/6 BARREL SV,#N/A,#N/A
11E6CFP,ELYSIAN,ELYSIAN CONTACT HAZE,24/12 AL CAN 4/6 CF,#N/A,#N/A
11E7CFP,BUDWEISER,BUDWEISER NITRO RESERVE GOLD,24/12 AL CAN 4/6 CF,#N/A,#N/A
11E7N4G,BUDWEISER,BUDWEISER NITRO RESERVE GOLD,24/12 AL CAN 2/12 SP CF,#N/A,#N/A
11EDRP6,SOCIAL CLUB,SOCIAL CLUB VARIETY PACK,24/12 AL SLEEK CAN 2/12,0,18200286421
11EG6MK,BUDWEISER,RITAS PINEAPPLE GUAV-A-RITA,24/8 AL SLEEK CAN 2/12,18200000829,18200958380
11EGY51,BUDWEISER,RITAS PINEAPPLE GUAV-A-RITA,15/25 AL CAN SRINK,18200255380,18200958373
11EMH55,BUDWEISER,BUD LIGHT SELTZER BLACK CHERRY,15/25 AL CAN SRINK,18200260612,18200286582
11EMTN8,BUDWEISER,BUD LIGHT SELTZER BLACK CHERRY,24/12 AL SLEEK CAN SP,18200260643,18200287459
11EMWP6,BUDWEISER,BUD LIGHT SELTZER BLACK CHERRY,24/12 AL SLEEK CAN 2/12,18200260643,18200286766
11ENH55,BUDWEISER,BUD LIGHT SELTZER STRAWBERRY,15/25 AL CAN SRINK,18200260629,18200286599
11EOH55,BUDWEISER,BUD LIGHT SELTZER LEMON LIME,15/25 AL CAN SRINK,18200260636,18200286605
11EOWP6,BUDWEISER,BUD LIGHT SELTZER LEMON LIME,24/12 AL SLEEK CAN 2/12,18200260667,18200286773
11EQ19V,BUDWEISER,BUD LIGHT SELTZER VARIETY PACK,15/25 AL CAN 5/3 SHRINK,0,18200287800
11EQRP6,BUDWEISER,BUD LIGHT SELTZER VARIETY PACK,24/12 AL SLEEK CAN 2/12,0,18200286643
11ET251,BUDWEISER,BUD LIGHT CLASSIC LEMONADE,15/25 AL CAN SRINK,18200260674,18200286650
11ETLK6,BUDWEISER,BUD LIGHT CLASSIC LEMONADE,24/12 AL SLEEK CAN 2/12,18200260681,18200286667
11EURP6,BUDWEISER,BUD LIGHT VARIETY PACK,24/12 AL SLEEK CAN 2/12,0,18200286674
11EVYM5,ESTRELLA,ESTRELLA JALISCO PEPINO LIME,15/25 AL CAN SRINK,18200260698,18200286681
11EWH55,MAHA LIQUID VENTURES,MAHA BLACK CHERRY,15/25 AL CAN SRINK,#N/A,#N/A
11EY46G,ELYSIAN,ELYSIAN VARIETY PACK 2,24/12 AL CAN 2/12 SMPLR,0,0
11F0283,ODOULS,O'DOUL'S AMBER,24/12 NRLN 4/6 BSKT,18200001833,18200968792
11F1RP4,GOLDEN ROAD,GOLDEN ROAD CHAMPANGO,24/12 AL SLEEK CAN 6/4 CF,8.10628E+11,8.10628E+11
11F5RP6,MAHA LIQUID VENTURES,MAHA VARIETY PACK 1,24/12 AL SLEEK CAN 2/12,0,0
11F9H55,BUDWEISER,BUD LIGHT SELTZER MANGO,15/25 AL CAN SRINK,18200260803,18200286841
11F9TN8,BUDWEISER,BUD LIGHT SELTZER MANGO,24/12 AL SLEEK CAN SP,18200260810,18200287466
11F9WP6,BUDWEISER,BUD LIGHT SELTZER MANGO,24/12 AL SLEEK CAN 2/12,18200260810,18200286858
11FABF6,LEFFE,LEFFE BLONDE,24/11.2 NRLN 4/6 BSKT,7.8615E+11,7.8615E+11
11FDSK8,BUDWEISER,BUD LIGHT SELTZER VARIETY PACK 2,24/12 AL SLEEK CAN SP,0,18200286865
11FJZ47,BUDWEISER,BUDWEISER ZERO,24/12 AL CAN 2/12 SP CF,#N/A,#N/A
11FLCFP,GOLDEN ROAD,GOLDEN ROAD MELON CART,24/12 AL CAN 4/6 CF,8.56895E+11,8.10628E+11
11FT43S,BON V!V,BON V!V BLACK CHERRY,24/16 AL CAN 6/4 SP TRAY,8.53897E+11,18200287251
11FY94L,STELLA ARTOIS,STELLA CIDRE,1/2 BARREL SV (CIDER),18200005114,0
11FYLT7,STELLA ARTOIS,STELLA CIDRE,24/12 SALNNR 4/6 BSKT,18200251009,18200140396
11G143S,BON V!V,BON V!V GRAPEFRUIT,24/16 AL CAN 6/4 SP TRAY,8.53897E+11,0
11G1SZ4,BON V!V,BON V!V GRAPEFRUIT,24/12 AL SLEEK CAN 4/6 CF,8.53897E+11,0
11G5RP6,BON V!V,BON V!V VARIETY PACK CORE,24/12 AL SLEEK CAN 2/12,0,8.53897E+11
11G6RP6,BON V!V,BON V!V VARIETY PACK BLENDS,24/12 AL SLEEK CAN 2/12,0,18200286438
11G7SK8,BON V!V,BON V!V VARIETY PACK 3,24/12 AL SLEEK CAN SP,0,8.53897E+11
11G8BV4,BON V!V,BON V!V VARIETY PACK 4,24/12 AL SLEEK CAN 4/6 CF,0,18200201479
11GB4Z6,GOLDEN ROAD,GOLDEN ROAD MANGO NA N,24/12 AL CAN 4/6 TRAY,8.10628E+11,8.10628E+11
11GK5HB,HIBALL,HIBALL ENERGY WATER WATERMELON MINT,24/16 AL CAN 3/8 EL,8.53585E+11,0
11GMBAB,BABE WINE,BABE ROSE,24/8.4 6/4  AL CAN,8.69037E+11,8.69037E+11
11GNBAB,BABE WINE,BABE GRIGIO,24/8.4 6/4  AL CAN,8.69037E+11,8.69037E+11
11GOBAB,BABE WINE,BABE RED,24/8.4 6/4  AL CAN,8.69037E+11,8.65776E+11
11GRLS2,STELLA ARTOIS,STELLA ARTOIS SOLSTICE LAGER,24/11.2 NRLN 2/12,#N/A,#N/A
11GRLS6,STELLA ARTOIS,STELLA ARTOIS SOLSTICE LAGER,24/11.2 NRLN 4/6 BSKT,#N/A,#N/A
11GU46S,NATURAL LIGHT,NATURAL LIGHT SELTZER VARIETY PACK,24/12 AL CAN 2/12 SMPLR,0,18200286025
11GX251,NATURAL LIGHT,NATTY DADDY LEMONADE,15/25 AL CAN SRINK,#N/A,#N/A
11H04Z6,KOMBREWCHA,KOMBREWCHA BERRY HIBISCUS,24/12 AL CAN 4/6 TRAY,8.57291E+11,8.57291E+11
11H46MK,BUDWEISER,RITAS MANG-O-RITA,24/8 AL SLEEK CAN 2/12,18200000812,18200958465
11H4Y51,BUDWEISER,RITAS MANG-O-RITA,15/25 AL CAN SRINK,18200255335,18200958441
11HYD55,GOLDEN ROAD,GOLDEN ROAD FRUIT CART HARD SELTZER CUCU,15/25 AL CAN SRINK,8.10628E+11,8.10628E+11
11I0D55,GOLDEN ROAD,GOLDEN ROAD FRUIT CART HARD SELTZER MANG,15/25 AL CAN SRINK,8.10628E+11,8.10628E+11
11I1D55,GOLDEN ROAD,GOLDEN ROAD FRUIT CART HARD SELTZER STRA,15/25 AL CAN SRINK,8.10628E+11,8.10628E+11
11I3RP6,GOLDEN ROAD,GOLDEN ROAD FRUIT CART HARD SELTZER VARI,24/12 AL SLEEK CAN 2/12,0,0
11I8H55,BUDWEISER,BUD LIGHT PLATINUM SELTZER WILD BERRY,15/25 AL CAN SRINK,18200261299,18200287640
11IBBV4,BUDWEISER,BUD LIGHT PLATINUM SELTZER VARIETY PACK,24/12 AL SLEEK CAN 4/6 CF,0,18200287695
11IJNA6,BUDWEISER,BUDWEISER ZERO,24/12 NRLN 4/6 ET BSK APL,18200001567,18200283673
11IPRP6,BUDWEISER,BUD LIGHT SELTZER VP3,24/12 AL SLEEK CAN 2/12,0,18200286780
11IY4Z6,KOMBREWCHA,KOMBREWCHA MANGO PINEAPPLE,24/12 AL CAN 4/6 TRAY,8.57291E+11,0
11J06V4,KOMBREWCHA,KOMBREWCHA VARIETY PACK,24/12 AL CAN 6/4 VAR- KB,0,0
11J5Y55,BUDWEISER,BUD LIGHT CHELADA FUEGO,15/25 AL CAN SRINK,#N/A,#N/A
11J5Y92,BUDWEISER,BUD LIGHT CHELADA FUEGO,15/25 AL CAN 5/3 SHRINK,#N/A,#N/A
11J9H55,MICHELOB,MIC ULTRA ORGANIC SELTZER CUCUMBER LIME,15/25 AL CAN SRINK,18200261855,18200288692
11JF62T,BUDWEISER,RITAS VARIETY PACK,24/12 TBNR 2/12 SMP,0,18200284656
11JGRP6,MICHELOB,MIC ULTRA ORGANIC SELTZER VARIETY PACK,24/12 AL SLEEK CAN 2/12,#N/A,#N/A
11JGSK8,MICHELOB,MIC ULTRA ORGANIC SELTZER VARIETY PACK,24/12 AL SLEEK CAN SP,0,18200288753
11KJRP6,BUDWEISER,BUD LIGHT SELTZER LEMONADE VARIETY PACK,24/12 AL SLEEK CAN 2/12,0,18200288203
11KN044,KONA,KONA LONGBOARD LAGER,24/16 AL CAN 6/4 SP TRAY,7.96031E+11,7.96031E+11
11KN218,KONA,KONA LONGBOARD LAGER,18/12 AL CAN SP,7.9603E+11,7.9603E+11
11KN246,KONA,KONA LONGBOARD LAGER,24/12 AL CAN 2/12 SP CF,7.9603E+11,7.96031E+11
11KN940,KONA,KONA LONGBOARD LAGER,1/2 BARREL SV,7.96031E+11,0
11KN970,KONA,KONA LONGBOARD LAGER,1/6 BARREL SV,7.9603E+11,0
11KNKA2,KONA,KONA LONGBOARD LAGER,24/12 NR LNNR 2/12,7.9603E+11,0
11KNKA4,KONA,KONA LONGBOARD LAGER,24/12 NR LNNR 4/6,7.9603E+11,7.9603E+11
11KP044,KONA,KONA BIG WAVE ALE,24/16 AL CAN 6/4 SP TRAY,7.96031E+11,7.96031E+11
11KP218,KONA,KONA BIG WAVE ALE,18/12 AL CAN SP,7.9603E+11,7.9603E+11
11KP246,KONA,KONA BIG WAVE ALE,24/12 AL CAN 2/12 SP CF,7.9603E+11,7.96031E+11
11KP940,KONA,KONA BIG WAVE ALE,1/2 BARREL SV,7.96031E+11,0
11KP970,KONA,KONA BIG WAVE ALE,1/6 BARREL SV,7.9603E+11,0
11KPKA2,KONA,KONA BIG WAVE ALE,24/12 NR LNNR 2/12,7.9603E+11,0
11KPKA4,KONA,KONA BIG WAVE ALE,24/12 NR LNNR 4/6,7.9603E+11,7.9603E+11
11KXKC2,BECK'S,BECK'S PILSNER N,24/12 NRLN 2/12 ET TGTR,82488000086,82488123105
11KXKC6,BECK'S,BECK'S PILSNER N,24/12 NRLN 4/6 BSKT,82488000086,82488123808
11LNKN2,LAND SHARK,LAND SHARK LAGER,24/12 NRLN APL 2/12 TGTR,18200007798,18200964114
11LNKN6,LAND SHARK,LAND SHARK LAGER,24/12 NRLN APL 4/6 BSKT,18200007798,18200964503
11LP033,REDBRIDGE,REDBRIDGE LAGER,24/12 NRLN 4/6 ET BSKT,18200007293,18200965173
11MBCFP,ELYSIAN,ELYSIAN SUPERFUZZ BLOOD ORANGE PALE,24/12 AL CAN 4/6 CF,8.17904E+11,0
11MI044,ELYSIAN,ELYSIAN DAYGLOW IPA,24/16 AL CAN 6/4 SP TRAY,8.17904E+11,8.17904E+11
11MICFP,ELYSIAN,ELYSIAN DAYGLOW IPA,24/12 AL CAN 4/6 CF,8.17904E+11,8.17904E+11
11MV251,GOLDEN ROAD,GOLDEN ROAD WOLF PUP,15/25 AL CAN SRINK,8.10628E+11,8.10628E+11
11MV940,GOLDEN ROAD,GOLDEN ROAD WOLF PUP,1/2 BARREL SV,8.56895E+11,0
11MV970,GOLDEN ROAD,GOLDEN ROAD WOLF PUP,1/6 BARREL SV,8.56895E+11,0
11MVCFP,GOLDEN ROAD,GOLDEN ROAD WOLF PUP,24/12 AL CAN 4/6 CF,8.56895E+11,0
11MVH35,GOLDEN ROAD,GOLDEN ROAD WOLF PUP,30/12 AL CAN 2/15 SP CF,8.56895E+11,0
11NB50C,FRANZISKANER,FRANZISKANER HEFE WEISS,13.2  GAL SV,18200250217,0
11NBE09,FRANZISKANER,FRANZISKANER HEFE WEISS,20/16.9 OZ NR BTL,88394000172,88394000189
11NBE72,FRANZISKANER,FRANZISKANER HEFE WEISS,24/12 NRLN 2/12 TGTR,88394000325,88394000141
11NBE76,FRANZISKANER,FRANZISKANER HEFE WEISS,24/12 NRLN 4/6 BSKT,88394000325,88394000349
11NN251,NATURAL LIGHT,NATTY DADDY,15/25 AL CAN SRINK,18200250132,18200960093
11NNH35,NATURAL LIGHT,NATTY DADDY,30/12 AL CAN 2/15 SP CF,18200969287,0
11NX251,BUDWEISER,BUD LIGHT PLATINUM,15/25 AL CAN SRINK,18200255434,18200958205
11NX32P,BUDWEISER,BUD LIGHT PLATINUM,24/12 NRLN 2/12 TGTR APL,18200009075,18200961199
11NX36P,BUDWEISER,BUD LIGHT PLATINUM,24/12 NRLN 4/6 ET BSK APL,18200009075,18200961182
11NX38P,BUDWEISER,BUD LIGHT PLATINUM,18/12 LN NR BTL EL APL,18200009075,18200960444
11NXJL1,BUDWEISER,BUD LIGHT PLATINUM,18/12 AL SLEEK CAN SP,18200006098,18200960284
11NXJL6,BUDWEISER,BUD LIGHT PLATINUM,24/12 AL SLEEK CAN 2/12,18200006098,18200960277
11NXKT6,BUDWEISER,BUD LIGHT PLATINUM,24/16 OZ CALNR 3/8 CF,18200005343,18200283918
11P76BR,BRECKENRIDGE,BRECKENRIDGE VANILLA PORTER,24/12 NR BTL 4/6 APL,7.45432E+11,7.45432E+11
11T5SB1,TEAVANA,TEAVANA MANGO BLACK ICED TEA,12/14.5 T1NR,18200258756,0
11T6192,MICHELOB,MICHELOB ULTRA,15/25 AL CAN 5/3 SHRINK,18200250101,18200140433
11T6251,MICHELOB,MICHELOB ULTRA,15/25 AL CAN SRINK,18200250101,18200960116
11T6276,MICHELOB,MICHELOB ULTRA,24/12 SLPLN 4/6 ET BSKT,18200003325,18200967702
11T6381,MICHELOB,MICHELOB ULTRA,18/12 SLPLN BTL EL ET,18200003325,18200966248
11T6389,MICHELOB,MICHELOB ULTRA,24/12 SLPLN 2/12,18200003325,18200967696
11T6456,MICHELOB,MICHELOB ULTRA,20/12 SLPLN BTL LS PREPRN,18200003325,18200967511
11T6479,MICHELOB,MICHELOB ULTRA,24/12 SLPLN BTL LS PREPRN,18200003325,18200967283
11T65A9,MICHELOB,MICHELOB ULTRA,24/7 SLPLN BTL PREPR APL,18200003547,18200284373
11T66LK,MICHELOB,MICHELOB ULTRA,24/8 AL SLEEK CAN 2/12,18200002595,18200961410
11T6940,MICHELOB,MICHELOB ULTRA,1/2 BARREL SV,18200003479,0
11T6970,MICHELOB,MICHELOB ULTRA,1/6 BARREL SV,18200003455,0
11T6KT4,MICHELOB,MICHELOB ULTRA,24/16 OZ 2/12 CALNR CF,18200006654,18200283925
11T6KT6,MICHELOB,MICHELOB ULTRA,24/16 OZ CALNR 3/8 CF,18200006654,18200283147
11T6LK1,MICHELOB,MICHELOB ULTRA,18/12 AL SLEEK CAN SP,18200003349,18200967214
11T6LK6,MICHELOB,MICHELOB ULTRA,24/12 AL SLEEK CAN 2/12,18200003349,18200967313
11T6LK8,MICHELOB,MICHELOB ULTRA,24/12 AL SLEEK CAN SP,18200003349,18200967153
11TPSB1,TEAVANA,TEAVANA PEACH GREEN ICED TEA,12/14.5 T1NR,18200258749,0
11TYSB1,TEAVANA,TEAVANA PINEAPPLE BERRY BLUE HERBAL ICED,12/14.5 T1NR,18200258732,0
11TZSB1,TEAVANA,TEAVANA PASSION TANGO HERBAL ICED TEA,12/14.5 T1NR,18200258763,18200200526
11U5218,TEN BARREL,10 BARREL PUB BEER,18/12 AL CAN SP,8.51538E+11,8.50162E+11
11U5940,TEN BARREL,10 BARREL PUB BEER,1/2 BARREL SV,8.51538E+11,0
11YP044,GOOSE ISLAND,GOOSE IPA,24/16 AL CAN 6/4 SP TRAY,7.3692E+11,0
11YP251,GOOSE ISLAND,GOOSE IPA,15/25 AL CAN SRINK,7.3692E+11,7.3692E+11
11YP940,GOOSE ISLAND,GOOSE IPA,1/2 BARREL SV,7.3692E+11,0
11YP970,GOOSE ISLAND,GOOSE IPA,1/6 BARREL SV,7.3692E+11,0
11YPA82,GOOSE ISLAND,GOOSE IPA,24/12 NRLN BTL 2/12 APL,0,0
11YPA86,GOOSE ISLAND,GOOSE IPA,24/12 NRLN 4/6 ET BSK APL,7.3692E+11,7.3692E+11
11YPH35,GOOSE ISLAND,GOOSE IPA,30/12 AL CAN 2/15 SP CF,7.3692E+11,0
11YW6MK,BUDWEISER,RITAS STRAW-BER-RITA,24/8 AL SLEEK CAN 2/12,18200005947,18200960314
11YWY51,BUDWEISER,RITAS STRAW-BER-RITA,15/25 AL CAN SRINK,18200255052,18200958755
120F4Z6,ELYSIAN,ELYSIAN ROLLING STONE,24/12 AL CAN 4/6 TRAY,#N/A,#N/A
120F940,ELYSIAN,ELYSIAN ROLLING STONE,1/2 BARREL SV,#N/A,#N/A
120Q19Z,GOLDEN ROAD,GOLDEN ROAD HAZY ROLLER,15/19.2 AL CAN,0,8.10628E+11
120Q4Z6,GOLDEN ROAD,GOLDEN ROAD HAZY ROLLER,24/12 AL CAN 4/6 TRAY,8.10628E+11,8.10628E+11
123J4Z6,TEN BARREL,10 BARREL GUAVA CRUSH,24/12 AL CAN 4/6 TRAY,#N/A,#N/A
123J940,TEN BARREL,10 BARREL GUAVA CRUSH,1/2 BARREL SV,#N/A,#N/A
128040R,GOLDEN ROAD,GOLDEN ROAD SOCAL MIXER,30/12 AL CAN 2/15,0,0
12844Z6,GOLDEN ROAD,GOLDEN ROAD HAZY PUP,24/12 AL CAN 4/6 TRAY,8.10628E+11,8.10628E+11
129919Z,GOLDEN ROAD,GOLDEN ROAD GOLDEN STATE CERVEZA,15/19.2 AL CAN,8.10628E+11,0
129930Z,GOLDEN ROAD,GOLDEN ROAD GOLDEN STATE CERVEZA,30/12 AL CAN 2/15,8.10628E+11,8.10628E+11
12994Z6,GOLDEN ROAD,GOLDEN ROAD GOLDEN STATE CERVEZA,24/12 AL CAN 4/6 TRAY,8.10628E+11,8.10628E+11
12A14Z6,GOLDEN ROAD,GOLDEN ROAD THE SKINNY IPA,24/12 AL CAN 4/6 TRAY,8.10628E+11,8.10628E+11
12A240R,GOLDEN ROAD,GOLDEN ROAD CALI SAMPLER,30/12 AL CAN 2/15,0,8.10628E+11
12BH4Z6,GOLDEN ROAD,GOLDEN ROAD PASSION WOLF HAZY IPA,24/12 AL CAN 4/6 TRAY,8.10628E+11,8.10628E+11
12BH940,GOLDEN ROAD,GOLDEN ROAD PASSION WOLF HAZY IPA,1/2 BARREL SV,0,0
994Q15B,BRECKENRIDGE,BRECKENRIDGE 15 PACK CAN SAMPLER,30/12 AL CAN 2/15 VER 2,0,0
99774Z6,TEN BARREL,10 BARREL JOE IPA,24/12 AL CAN 4/6 TRAY,8.50162E+11,0
99EF940,ELYSIAN,ELYSIAN SUPERFUZZ BLOOD ORANGE PALE,1/2 BARREL SV,0,0
99EFZ16,ELYSIAN,ELYSIAN SUPERFUZZ BLOOD ORANGE PALE,24/16 6/4 CAN SN,8.17904E+11,0
99EY4Z6,ELYSIAN,ELYSIAN SPACE DUST IPA,24/12 AL CAN 4/6 TRAY,8.17904E+11,8.17904E+11
99EYZ22,ELYSIAN,ELYSIAN SPACE DUST IPA,12/22 NR BTL,8.17904E+11,8.17904E+11
99F1970,ELYSIAN,ELYSIAN DRAGONSTOOTH STOUT,1/6 BARREL SV,0,0
99F9970,ELYSIAN,ELYSIAN AVATAR JASMINE IPA,1/6 BARREL SV,0,0
99FW940,ELYSIAN,ELYSIAN BIFROST WINTER ALE,1/2 BARREL SV,8.17904E+11,0
99FWZ46,ELYSIAN,ELYSIAN BIFROST WINTER ALE,24/12 NR BTL 4/6,8.17904E+11,8.17904E+11
99IY970,GOLDEN ROAD,GOLDEN ROAD MANGO CART 4.0,1/6 BARREL SV,0,0
99K54Z6,TEN BARREL,10 BARREL RASPBERRY CRUSH,24/12 AL CAN 4/6 TRAY,8.51538E+11,0
99L44Z6,ELYSIAN,ELYSIAN SNAILBONES,24/12 AL CAN 4/6 TRAY,8.17904E+11,0
99N7940,TEN BARREL,10 BARREL PRAY FOR SNOW,1/2 BARREL SV,0,0
99PT4Z6,GOLDEN ROAD,GOLDEN ROAD PALISADES PINEAPPLE,24/12 AL CAN 4/6 TRAY,0,0
99QD940,TEN BARREL,10 BARREL STRAWBERRY CRUSH,1/2 BARREL SV,0,0
99RR4Z6,GOLDEN ROAD,GOLDEN ROAD GET UP OFFA THAT BROWN,24/12 AL CAN 4/6 TRAY,0,0
99S24Z6,TEN BARREL,10 BARREL CUCUMBER CRUSH,24/12 AL CAN 4/6 TRAY,8.51538E+11,0
99S2940,TEN BARREL,10 BARREL CUCUMBER CRUSH,1/2 BARREL SV,0,0
99S2970,TEN BARREL,10 BARREL CUCUMBER CRUSH,1/6 BARREL SV,0,0
99T2940,GOLDEN ROAD,GOLDEN ROAD HEFEWEIZEN,1/2 BARREL SV,0,0
99U8940,GOLDEN ROAD,GOLDEN ROAD BREWERY RED,1/2 BARREL SV,0,0
99VQ4Z6,GOLDEN ROAD,GOLDEN ROAD RIDE ON IPA,24/12 AL CAN 4/6 TRAY,0,0
99X04Z6,GOLDEN ROAD,GOLDEN ROAD WOLF AMONG WEEDS IPA,24/12 AL CAN 4/6 TRAY,8.56895E+11,0
99X0940,GOLDEN ROAD,GOLDEN ROAD WOLF AMONG WEEDS IPA,1/2 BARREL SV,0,0
99Z54Z6,TEN BARREL,10 BARREL APOCALYPSE IPA,24/12 AL CAN 4/6 TRAY,8.50162E+11,0
